url,dataset,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м2_calc,округ,этаж_кат,этажность,тип_входа,наличие_метро,время_до_метро,расстояние_до_центра,расстояние_до_центра_округа,latitude,longitude,итоговая_цена_руб,превышение_цены_%,участники,год_торгов,статус,log_площадь,log_цена_за_м2,этаж_группа,is_floor_floor_1,is_floor_basement,is_floor_other,is_floor_floor_3_plus,is_floor_floor_2,is_small_area,is_center,metro_zone,price_category,area_per_metro,price_density
https://investmoscow.ru/tenders/tender/19736715,completed,19736715.0,75.0,5326000.0,71013.33333333333,СВАО,basement,5.0,Вход через места общего пользования,1,15.0,9.076041460964417,1.470617691577,55.8295457,37.6635752,6124900.0,15.0,5.0,2025.0,Завершено,4.330733340286331,11.170637013583116,basement,0,1,0,0,0,0,0,10+,cheap,4.6875,644519.9576146198
https://investmoscow.ru/tenders/tender/19887751,completed,19887751.0,67.6,6544000.0,96804.73372781066,ЗАО,basement,5.0,Вход через места общего пользования,1,7.0,10.66915964939267,2.2959947293753062,55.7241618,37.4540265,8180000.0,25.0,2.0,2025.0,Завершено,4.22829253473184,11.480461504235796,basement,0,1,0,0,0,0,0,5-10,cheap,8.45,1032825.1589589592
https://investmoscow.ru/tenders/tender/19833406,completed,19833406.0,67.6,6544000.0,96804.73372781066,ЗАО,basement,5.0,Вход через места общего пользования,1,7.0,10.66915964939267,2.2959947293753062,55.7241618,37.4540265,,0.0,0.0,2025.0,Завершено,4.22829253473184,11.480461504235796,basement,0,1,0,0,0,0,0,5-10,cheap,8.45,1032825.1589589592
https://investmoscow.ru/tenders/tender/19762115,completed,19762115.0,220.4,33057000.0,149986.38838475497,ЮЗАО,1,17.0,Отдельный,1,1.0,24.44778802079125,14.74974512020538,55.5399141,37.5119305,33057000.0,0.0,1.0,2025.0,Завершено,5.399971020274537,11.91830649210872,floor_1,1,0,0,0,0,0,0,0-5,expensive,110.2,3666835.429234557
https://investmoscow.ru/tenders/tender/19830201,completed,19830201.0,64.4,12393000.0,192437.8881987577,САО,1,17.0,Отдельный,1,14.0,13.654161531587205,6.9012525739612816,55.870252,37.5572936,12393000.0,0.0,2.0,2025.0,Завершено,4.180522258463153,12.167533918405086,floor_1,1,0,0,0,0,0,0,10+,cheap,4.293333333333334,2627578.010263357
https://investmoscow.ru/tenders/tender/19920564,completed,19920564.0,59.5,5479250.0,92088.23529411764,САО,basement,9.0,Отдельный,1,0.0,8.793978649549894,2.0576506391941045,55.7987253,37.5038148,8766800.0,60.0,11.0,2025.0,Завершено,4.102643365036796,11.430513334783852,basement,0,1,0,0,0,0,0,0-5,cheap,59.5,809821.9750511975
https://investmoscow.ru/tenders/tender/19919895,completed,19919895.0,59.5,5039100.0,84690.75630252101,САО,basement,9.0,Отдельный,1,0.0,8.793978649549894,2.0576506391941045,55.7987253,37.5038148,,0.0,0.0,2025.0,Завершено,4.102643365036796,11.346773547715976,basement,0,1,0,0,0,0,0,0-5,cheap,59.5,744768.7027386029
https://investmoscow.ru/tenders/tender/19762304,completed,19762304.0,59.5,5039100.0,84690.75630252101,САО,basement,9.0,Отдельный,1,0.0,8.793978649549894,2.0576506391941045,55.7987253,37.5038148,9322335.0,85.0,14.0,2025.0,Завершено,4.102643365036796,11.346773547715976,basement,0,1,0,0,0,0,0,0-5,cheap,59.5,744768.7027386029
https://investmoscow.ru/tenders/tender/19999655,completed,19999655.0,38.9,8235000.0,211696.6580976864,ЮАО,1,24.0,Вход через подъезд,0,7.0,19.55417777802938,9.158075141752889,55.5805542,37.6894594,,0.0,0.0,2026.0,Завершено,3.686376323895818,12.262914394698454,floor_1,1,0,0,0,0,1,0,5-10,cheap,4.8625,4139554.087456863
https://investmoscow.ru/tenders/tender/19940311,completed,19940311.0,145.4,12878350.0,88571.87070151306,ЦАО,basement,5.0,Отдельный,1,0.0,3.6754540263194886,3.572487952213302,55.7627736,37.6731358,,0.0,0.0,2026.0,Завершено,4.986342601527212,11.391580889947264,basement,0,1,0,0,0,0,1,0-5,cheap,145.4,325541.8387885253
https://investmoscow.ru/tenders/tender/19879517,completed,19879517.0,145.4,12878350.0,88571.87070151306,ЦАО,basement,5.0,Отдельный,1,0.0,3.6754540263194886,3.572487952213302,55.7627736,37.6731358,,0.0,0.0,2025.0,Завершено,4.986342601527212,11.391580889947264,basement,0,1,0,0,0,0,1,0-5,cheap,145.4,325541.8387885253
https://investmoscow.ru/tenders/tender/19772923,completed,19772923.0,145.4,13166000.0,90550.20632737275,ЦАО,basement,5.0,Вход через места общего пользования,1,0.0,3.6754540263194886,3.572487952213302,55.7627736,37.6731358,,0.0,0.0,2025.0,Завершено,4.986342601527212,11.413670785446705,basement,0,1,0,0,0,0,1,0-5,medium,145.4,332813.12043000263
https://investmoscow.ru/tenders/tender/19800065,completed,19800065.0,128.3,20163000.0,157155.1052221356,ЮЗАО,1,17.0,Вход через места общего пользования,1,31.0,27.535663508719185,18.52540947703533,55.5042608,37.5947766,,0.0,0.0,2025.0,Завершено,4.862135285777812,11.964994891118783,floor_1,1,0,0,0,0,0,0,10+,medium,4.009375,4327370.096074083
https://investmoscow.ru/tenders/tender/19761291,completed,19761291.0,73.8,11732000.0,158970.18970189703,ЮЗАО,1,17.0,Вход через места общего пользования,1,0.0,27.535663508719185,18.52540947703533,55.5042608,37.5947766,,0.0,0.0,2025.0,Завершено,4.314817884980432,11.976478267940822,floor_1,1,0,0,0,0,0,0,0-5,cheap,73.8,4377349.651548693
https://investmoscow.ru/tenders/tender/19779688,completed,19779688.0,98.5,17872000.0,181441.62436548225,СВАО,2,15.0,Вход через места общего пользования,1,0.0,7.822710075747496,3.2920408714938216,55.820734,37.5898382,19659200.0,10.0,4.0,2025.0,Завершено,4.600157644164547,12.108694763512393,floor_2,0,0,0,0,1,0,0,0-5,medium,98.5,1419365.2230838505
https://investmoscow.ru/tenders/tender/19734289,completed,19734289.0,347.1,14132000.0,40714.49150100835,САО,basement,5.0,Отдельный,1,1.0,10.955145496655442,3.313880453190446,55.8396123,37.5367575,16251800.0,15.0,2.0,2025.0,Завершено,5.8524897948173935,10.614363925571174,basement,0,1,0,0,0,0,0,0-5,medium,173.55,446033.1782158879
https://investmoscow.ru/tenders/tender/19744671,completed,19744671.0,25.5,8942000.0,350666.6666666667,ЦАО,4,4.0,Вход через места общего пользования,1,1.0,0.8875495840671082,0.6397217608826624,55.7580963,37.6266937,14307200.0,60.0,10.0,2025.0,Завершено,3.277144732992177,12.767594235318644,floor_3_plus,0,0,0,1,0,1,1,0-5,cheap,12.75,311234.05414619925
https://investmoscow.ru/tenders/tender/19744697,completed,19744697.0,12.2,4471000.0,366475.4098360656,ЦАО,4,4.0,Вход через места общего пользования,1,1.0,0.8875495840671082,0.6397217608826624,55.7580963,37.6266937,6482950.0,45.0,6.0,2025.0,Завершено,2.580216829592325,12.811689432169224,floor_3_plus,0,0,0,1,0,1,1,0-5,cheap,6.1,325265.09757082304
https://investmoscow.ru/tenders/tender/19744639,completed,19744639.0,13.6,5079000.0,373455.8823529412,ЦАО,4,4.0,Вход через места общего пользования,1,1.0,0.8875495840671082,0.6397217608826624,55.7580963,37.6266937,8380350.0,65.0,9.0,2025.0,Завершено,2.681021528714291,12.83055783473025,floor_3_plus,0,0,0,1,0,1,1,0-5,cheap,6.8,331460.61304976785
https://investmoscow.ru/tenders/tender/19744711,completed,19744711.0,15.7,5854000.0,372866.24203821656,ЦАО,4,4.0,Вход через места общего пользования,1,1.0,0.8875495840671082,0.6397217608826624,55.7580963,37.6266937,8195600.0,40.0,7.0,2025.0,Завершено,2.815408719422709,12.828977715802996,floor_3_plus,0,0,0,1,0,1,1,0-5,cheap,7.85,330937.2780336848
https://investmoscow.ru/tenders/tender/19744660,completed,19744660.0,15.8,5901000.0,373481.0126582278,ЦАО,4,4.0,Вход через места общего пользования,1,1.0,0.8875495840671082,0.6397217608826624,55.7580963,37.6266937,10326750.0,75.0,11.0,2025.0,Завершено,2.8213788864092133,12.830625123515086,floor_3_plus,0,0,0,1,0,1,1,0-5,cheap,7.9,331482.9174417725
https://investmoscow.ru/tenders/tender/19727303,completed,19727303.0,265.4,62400000.0,235116.80482290883,ЦАО,other,4.0,Вход через подъезд,1,1.0,0.8875495840671082,0.6397217608826624,55.7580963,37.6266937,45240000.0,-27.5,3.0,2025.0,Завершено,5.584998938666234,12.367841964637632,other,0,0,1,0,0,0,1,0-5,expensive,132.7,208677.8223277602
https://investmoscow.ru/tenders/tender/19781909,completed,19781909.0,19.6,5430000.0,277040.8163265306,САО,1,15.0,Отдельный,1,0.0,8.983622138385464,1.6181994820002614,55.8035927,37.506697,9231000.0,70.0,8.0,2025.0,Завершено,3.025291075795536,12.53192373524356,floor_1,1,0,0,0,0,1,0,0-5,cheap,19.6,2488830.0107874013
https://investmoscow.ru/tenders/tender/19927244,completed,19927244.0,81.2,7832000.0,96453.20197044336,ЮЗАО,other,16.0,Отдельный,1,5.0,,,,,9398400.0,20.0,2.0,2026.0,Завершено,4.409155302062135,11.476823583693273,other,0,0,1,0,0,0,0,0-5,cheap,13.533333333333331,1212859.7431947123
https://investmoscow.ru/tenders/tender/19850424,completed,19850424.0,254.6,35723000.0,140310.29065200314,ВАО,1,12.0,Вход через места общего пользования,1,0.0,13.362807541063122,5.831650860454293,55.7541978,37.8313783,26792250.0,-25.0,8.0,2025.0,Завершено,5.54361372250338,11.851618737920342,floor_1,1,0,0,0,0,0,0,0-5,expensive,254.6,1874939.410013346
https://investmoscow.ru/tenders/tender/19789941,completed,19789941.0,254.6,35723000.0,140310.29065200314,ВАО,1,12.0,Вход через места общего пользования,1,0.0,13.362807541063122,5.831650860454293,55.7541978,37.8313783,,0.0,0.0,2025.0,Завершено,5.54361372250338,11.851618737920342,floor_1,1,0,0,0,0,0,0,0-5,expensive,254.6,1874939.410013346
https://investmoscow.ru/tenders/tender/19773158,completed,19773158.0,13.6,1453000.0,106838.23529411764,САО,1,14.0,Вход через места общего пользования,1,0.0,15.179835089820552,7.337239005158342,55.875382,37.5126944,2542750.0,75.0,6.0,2025.0,Завершено,2.681021528714291,11.57908050971155,floor_1,1,0,0,0,0,1,0,0-5,cheap,13.6,1621786.793052151
https://investmoscow.ru/tenders/tender/19803831,completed,19803831.0,111.0,15682000.0,141279.2792792793,ВАО,basement,10.0,Вход через места общего пользования,1,0.0,8.54992556856185,0.6585998534697928,55.7839129,37.7420689,15682000.0,0.0,3.0,2025.0,Завершено,4.718498871295094,11.858500992614424,basement,0,1,0,0,0,0,0,0-5,medium,111.0,1207927.3222179003
https://investmoscow.ru/tenders/tender/19780616,completed,19780616.0,111.0,15682000.0,141279.2792792793,ВАО,basement,10.0,Вход через места общего пользования,1,0.0,8.54992556856185,0.6585998534697928,55.7839129,37.7420689,,0.0,0.0,2025.0,Завершено,4.718498871295094,11.858500992614424,basement,0,1,0,0,0,0,0,0-5,medium,111.0,1207927.3222179003
https://investmoscow.ru/tenders/tender/19973506,completed,19973506.0,198.7,10618000.0,53437.34272773025,ЮЗАО,basement,8.0,Вход через места общего пользования,1,16.0,9.849415279473758,2.5969697553792503,55.6808621,37.5232565,12741600.0,20.0,5.0,2026.0,Завершено,5.296816240421769,10.886283795898256,basement,0,1,0,0,0,0,0,10+,cheap,11.688235294117646,526326.5799569822
https://investmoscow.ru/tenders/tender/19752474,completed,19752474.0,74.4,9885000.0,132862.90322580645,ЗАО,1,2.0,Вход через подъезд,1,1.0,12.432426517398746,10.75216592004651,55.8145192,37.45237,9885000.0,0.0,2.0,2025.0,Завершено,4.32280727501391,11.79708059927487,floor_1,1,0,0,0,0,0,0,0-5,cheap,37.2,1651808.2812430996
https://investmoscow.ru/tenders/tender/19973951,completed,19973951.0,360.0,49473000.0,137425.0,НАО,1,14.0,Отдельный,1,112.0,,,,,,0.0,0.0,2026.0,Завершено,5.8888779583328805,11.830840869398768,floor_1,1,0,0,0,0,0,0,10+,expensive,3.185840707964602,1728063.4214674293
https://investmoscow.ru/tenders/tender/19820082,completed,19820082.0,270.1,43835000.0,162291.7437985931,ЦАО,1,10.0,Отдельный,1,7.0,4.9631542258847965,4.773455091164424,55.7747288,37.6859204,48218500.0,10.0,4.0,2025.0,Завершено,5.60248775650462,11.99715704393017,floor_1,1,0,0,0,0,0,1,5-10,expensive,33.7625,805478.9540602
