lot_id,action,old_tw,new_tw,old_conf,new_conf,gap_days,company
19784329,added,,gap_snapshot_2025-09,,high,116,Navesypro. ru
19784362,added,,gap_snapshot_2025-09,,medium,112,"Lumi, студия косметологии | Ozon | Annetka.hair, студия окрашивания волос"
19786768,added,,gap_snapshot_2026-04,,medium,324,"Ozon | Яндекс Маркет, пункт выдачи заказов"
19787395,added,,gap_snapshot_2026-04,,high,315,"Доходный дом Усова, хостел"
19787610,added,,gap_snapshot_2026-02,,high,262,"Kser, торговая компания"
19789412,added,,gap_snapshot_2025-09,,medium,111,"Style-ok.ru, сервисный центр"
19790704,added,,gap_snapshot_2025-09,,medium,102,"DecorLux | Эстель, эконом-парикмахерская"
19790908,added,,gap_snapshot_2025-09,,high,102,Леон-2
19795500,added,,gap_snapshot_2026-04,,medium,303,"Дикси, супермаркет"
19796582,added,,gap_snapshot_2025-09,,medium,91,"ВкусВилл, супермаркет | ВкусВилл, кафе"
19798020,added,,gap_snapshot_2026-02,,medium,239,"Салон оптики, ИП Крайнова Юлия Евгеньевна | Miras"
19802331,added,,gap_snapshot_2026-02,,high,228,"Wildberries, пункт выдачи интернет-заказов"
19802333,added,,gap_snapshot_2026-02,,high,228,"Винлаб, супермаркет напитков"
19803661,added,,gap_snapshot_2025-09,,medium,75,"Wildberries, пункт выдачи интернет-заказов | Яндекс Маркет, пункт выдачи интернет-заказов"
19804541,added,,gap_snapshot_2026-02,,high,219,"Denisov&Gems, ювелирная мастерская"
19805696,added,,gap_snapshot_2026-02,,medium,220,"StarOptic, магазин оптики"
19806854,added,,gap_snapshot_2025-09,,medium,67,"Wildberries, пункт выдачи интернет-заказов | Авито, пункт выдачи заказов | Альвариум, центр сопровождения развития для детей с отклонениями"
19809263,added,,gap_snapshot_2026-02,,medium,180,"Pro, бьюти-студия"
19810724,added,,gap_snapshot_2026-04,,medium,262,"Магнит, супермаркет"
19813256,added,,gap_snapshot_2026-02,,medium,185,"Армтек, магазин автозапчастей | 5post, пункт выдачи заказов"
19814948,added,,gap_snapshot_2026-02,,medium,185,"Cdek, служба экспресс-доставки | Меридиан, центр культуры и искусства | Gymstar столица, международный клуб художественной гимнастики"
19815344,added,,gap_snapshot_2026-02,,medium,186,"Абвгдейка, центр дошкольного образования и подготовке к школе | Яндекс Маркет, пункт выдачи интернет-заказов | Wildberries, пункт выдачи интернет-заказов"
19815810,added,,gap_snapshot_2026-04,,medium,245,"Ozon | Wildberries, пункт выдачи заказов"
19816556,added,,gap_snapshot_2026-02,,medium,183,"Ангара, аптека | Ozon | Гемотест, медицинская лаборатория"
19820082,added,,gap_snapshot_2026-02,,medium,177,"Хэнань, ресторан | Qlean, пункт приема химчистки"
