lot_id,status,after_days,after_snapshot,confidence,likely_company,dropped
19579965,added,454,2025-09,medium,"Магнит, супермаркет","IMPLAUSIBLE: Почта России, почтомат (Бытовые услуги -> Постаматы) || IMPLAUSIBLE: Мировые судьи Рязанского района, участок мирового судьи №447 (Правоохранительные органы -> Суды)"
19580930,added,452,2025-09,medium,"Ion clinic, медицинский центр","IMPLAUSIBLE: Бери заряд!, станция зарядки телефонов (Средства связи -> Станции зарядки телефонов)"
19587558,added,452,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19587561,added,452,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19591651,all_filtered,438,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19591704,added,438,2025-09,medium,"Soda, студия маникюра и красоты | Wildberries, пункт выдачи интернет-заказов",
19592265,added,438,2025-09,medium,"Wowflo, магазин цветов",
19592334,added,438,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19592411,added,438,2025-09,medium,"Лотос, сеть срочных химчисток | Ozon","IMPLAUSIBLE: Яндекс Маркет, постамат (Бытовые услуги -> Постаматы)"
19592478,added,438,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19592521,added,438,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов","IMPLAUSIBLE: Chargex, станция зарядки телефонов (Средства связи -> Станции зарядки телефонов)"
19592722,added,438,2025-09,medium,"Терем теремок, центр детского развития | Wildberries, пункт выдачи интернет-заказов | Qlean, пункт приёма химчистки",
19598572,added,433,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19599851,added,427,2025-09,low,"Винлаб, супермаркет напитков",
19600317,added,427,2025-09,medium,"Бристоль, магазин | Wildberries, пункт выдачи товаров",
19605340,added,438,2025-09,medium,"Autodoc.ru, магазин автозапчастей",
19606635,added,412,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19606652,added,412,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов",
19607651,added,439,2025-09,medium,"Место развития, кабинет логопеда",
19611743,all_filtered,413,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19611746,added,413,2025-09,medium,"Московское долголетие, центр московского долголетия и молодости | PёsDuke Grooming, груминг-салон",
19611750,added,413,2025-09,medium,"Московское долголетие, центр московского долголетия и молодости | PёsDuke Grooming, груминг-салон",
19618725,added,421,2025-09,medium,"Оремтех, сервисный центр",
19621770,added,417,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов | Ozon | Qlean, пункт приёма химчистки",
19621846,added,419,2025-09,medium,"У Веры, салон красоты | Сервис-центр кондиционеров",
19625981,added,406,2025-09,medium,Ногтевая студия,
19636177,added,403,2025-09,medium,Ozon,
19637472,added,400,2025-09,medium,"Wash express, прачечная самообслуживания | Учебно-консультационный пункт по ГО и ЧС","IMPLAUSIBLE: Жилищник района Беговой, ОДС №44 (Жилищно-коммунальные услуги -> Жилищно-коммунальные услуги)"
19640747,all_filtered,389,2025-09,,,"IMPLAUSIBLE: Московский, постамат (Бытовые услуги -> Постаматы)"
19640749,all_filtered,389,2025-09,,,"IMPLAUSIBLE: Московский, постамат (Бытовые услуги -> Постаматы)"
19640750,added,386,2025-09,medium,"Барберхаус, барбершоп",
19640751,added,386,2025-09,medium,"Барберхаус, барбершоп",
19640753,added,386,2025-09,medium,"Барберхаус, барбершоп",
19648925,added,384,2025-09,medium,"Netta Klygina, ателье премиум-класса","AREA(63m² vs 250-6000): Ichi, боксерский клуб"
19649501,added,342,2025-09,high,"Поляна, гастроном",
19652927,added,369,2025-09,medium,"Винлаб, супермаркет напитков","IMPLAUSIBLE: Жилищник района Академический, ОДС №350 (Жилищно-коммунальные услуги -> Диспетчерские службы) || IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)"
19652929,added,369,2025-09,medium,"Винлаб, супермаркет напитков","IMPLAUSIBLE: Жилищник района Академический, ОДС №350 (Жилищно-коммунальные услуги -> Диспетчерские службы) || IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)"
19653930,added,368,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов","AREA(198m² vs 250-6000): Третье колесо, компания по ремонту персонального электротранспорта"
19653936,added,368,2025-09,medium,"Wildberries, пункт выдачи интернет-заказов","IMPLAUSIBLE: Жилищник района Западное Дегунино, ОДС №3198 (Жилищно-коммунальные услуги -> Диспетчерские службы)"
19667627,added,306,2025-09,high,"Поляна, гастроном",
19667630,added,306,2025-09,high,"Поляна, гастроном",
19679310,all_filtered,336,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19679320,all_filtered,336,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19695985,added,319,2025-09,medium,"Viart, салон красоты | Московский городской центр дезинфекции, филиал Северно-Западного административного округа №1",
19707897,all_filtered,293,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19707898,all_filtered,293,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19707899,all_filtered,293,2025-09,,,IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
19711669,added,293,2025-09,medium,"Нотариус Гемальдинова Д.М. | Контракт-риэлт, агентство недвижимости | Горздрав, аптечный пункт №551",
19718251,added,286,2025-09,high,"Demaxo, оптовая компания по поставке химических продуктов для промпереработки стекла",
19719162,added,286,2025-09,high,"Тот-сервис, сервисный центр",
19712781,all_filtered,243,2025-09,,,IMPLAUSIBLE: ЖК На Давыдковской (Новостройки -> Новостройки) || IMPLAUSIBLE: Центр информирования по переселению (Аварийные / справочные / экстренные службы -> Справочные)
