номер_лота,площадь_м²,этаж,confidence,source,status,orig_company,new_company,dropped,drop_reasons
19897627,69.3,1,medium,0-180d_recent_2026-04,unchanged,"Dance-AP Coffee, кофейня | Ozon","Dance-AP Coffee, кофейня | Ozon",,
19897660,76.1,1,medium,gap_snapshot_2026-02,unchanged,Здесь аптека | Красное&Белое | Дикси,Здесь аптека | Красное&Белое | Дикси,,
19898426,133.7,1,medium,gap_snapshot_2026-02,unchanged,Красное&Белое | Britva,Красное&Белое | Britva,,
19898441,50.6,1,high,0-180d_recent_2026-04,unchanged,"Яндекс Маркет, пункт выдачи заказов","Яндекс Маркет, пункт выдачи заказов",,
19901267,131.6,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19901275,91.3,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19904767,11.2,1,medium,gap_snapshot_2026-02,unchanged,Дошкольное отделение,Дошкольное отделение,,
19907376,67.9,Подвал,high,0-180d_recent_2026-04,unchanged,"Wildberries, пункт выдачи заказов","Wildberries, пункт выдачи заказов",,
19908782,107.4,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Винлаб,Ozon | Wildberries | Винлаб,,
19908786,94.7,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Винлаб,Ozon | Wildberries | Винлаб,,
19908889,30.5,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Винлаб,Ozon | Wildberries | Винлаб,,
19908899,65.0,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Винлаб,Ozon | Wildberries | Винлаб,,
19908907,79.8,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Винлаб,Ozon | Wildberries | Винлаб,,
19908925,48.0,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Винлаб,Ozon | Wildberries | Винлаб,,
19909607,93.4,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19909896,105.3,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries | Авито,Ozon | Wildberries | Авито,,
19912546,104.9,1,medium,gap_snapshot_2026-04,unchanged,Авито | Ozon,Авито | Ozon,,
19912550,62.9,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Ozon,Wildberries | Ozon,,
19912554,115.8,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19912565,80.9,1,medium,gap_snapshot_2026-04,unchanged,Авито | Ozon,Авито | Ozon,,
19912568,88.8,1,medium,gap_snapshot_2026-02,unchanged,Вис | Московский фонд реновации жилой застройки,Вис | Московский фонд реновации жилой застройки,,
19912604,30.2,1,medium,gap_snapshot_2026-04,unchanged,Авито | Ozon,Авито | Ozon,,
19912640,122.8,1,medium,gap_snapshot_2026-02,unchanged,Красное&Белое | Wildberries,Красное&Белое | Wildberries,,
19912695,110.8,1,medium,gap_snapshot_2026-04,unchanged,Авито | Ozon,Авито | Ozon,,
19912886,37.0,1,medium,0-180d_recent_2026-04,unchanged,"Яндекс Маркет, пункт выдачи заказов | Не просто вещь, пункт приёма одежды","Яндекс Маркет, пункт выдачи заказов | Не просто вещь, пункт приёма одежды",,
19912893,32.6,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Ozon | Copix,Wildberries | Ozon | Copix,,
19912900,39.7,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Ozon | Copix,Wildberries | Ozon | Copix,,
19912901,47.9,1,high,gap_snapshot_2026-04,unchanged,Ozon,Ozon,,
19912903,121.0,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19912904,103.0,1,high,gap_snapshot_2026-04,unchanged,Ozon,Ozon,,
19912908,118.1,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19912922,50.6,1,high,gap_snapshot_2026-04,unchanged,Wildberries,Wildberries,,
19912925,88.3,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Ozon,Wildberries | Ozon,,
19912930,57.9,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Ozon,Wildberries | Ozon,,
19912931,68.8,1,medium,gap_snapshot_2026-04,unchanged,Wildberries | Ozon,Wildberries | Ozon,,
19913320,146.0,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Лотос,Ozon | Лотос,,
19915234,97.6,1,high,gap_snapshot_2026-04,unchanged,Винлаб,Винлаб,,
19915240,90.2,1,high,gap_snapshot_2026-04,unchanged,Винлаб,Винлаб,,
19916222,117.7,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916236,103.3,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916257,120.1,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916313,120.1,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916342,173.1,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916372,83.7,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916394,114.8,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916445,94.1,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916473,130.3,1,medium,gap_snapshot_2026-04,unchanged,Магазин цветов,Магазин цветов,,
19916547,63.2,3,medium,gap_snapshot_2026-04,unchanged,Вы здоровы | Kivi,Вы здоровы | Kivi,,
19917269,55.4,1,high,gap_snapshot_2026-04,unchanged,Винлаб,Винлаб,,
19917270,70.7,1,medium,gap_snapshot_2026-04,unchanged,Ozon | Wildberries,Ozon | Wildberries,,
