lot_id,url,source,purchase_date,snapshot_label,days_after_purchase,confidence,likely_company,likely_usage,candidate_count
19649725,https://investmoscow.ru/tenders/tender/19649725,baseline,19.03.2025 10:00,2025-09,195,low,"ОДС №6, диспетчерская | Пятёрочка, супермаркет",Жилищно-коммунальные услуги -> Диспетчерские службы | Торговые комплексы -> Супермаркеты,2
19712781,https://investmoscow.ru/tenders/tender/19712781,baseline,30.01.2025 10:00,2025-09,243,medium,ЖК На Давыдковской | Центр информирования по переселению,Новостройки -> Новостройки | Аварийные / справочные / экстренные службы -> Справочные,2
19712846,https://investmoscow.ru/tenders/tender/19712846,baseline,30.01.2025 10:00,2025-09,243,medium,ЖК На Давыдковской | Центр информирования по переселению,Новостройки -> Новостройки | Аварийные / справочные / экстренные службы -> Справочные,2
19712849,https://investmoscow.ru/tenders/tender/19712849,baseline,30.01.2025 10:00,2025-09,243,medium,ЖК На Давыдковской | Центр информирования по переселению,Новостройки -> Новостройки | Аварийные / справочные / экстренные службы -> Справочные,2
19723010,https://investmoscow.ru/tenders/tender/19723010,baseline,03.02.2025 17:00,2025-09,239,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19723012,https://investmoscow.ru/tenders/tender/19723012,baseline,03.02.2025 17:00,2025-09,239,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19723015,https://investmoscow.ru/tenders/tender/19723015,baseline,03.02.2025 17:00,2025-09,239,medium,"Московский, постамат | Дикси go!",Бытовые услуги -> Постаматы | Торговые комплексы -> Супермаркеты,2
19724703,https://investmoscow.ru/tenders/tender/19724703,baseline,28.01.2025 17:00,2025-09,245,medium,"Uniсum, кофейный автомат | СберМобайл, мобильный оператор связи","Общественное питание -> Кофейные автоматы | Услуги связи -> Мобильные операторы, Помощь в подключении услуг связи",2
19724766,https://investmoscow.ru/tenders/tender/19724766,baseline,05.02.2025 17:00,2025-09,237,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19725764,https://investmoscow.ru/tenders/tender/19725764,baseline,06.02.2025 17:00,2025-09,236,high,Центр информирования по переселению,Аварийные / справочные / экстренные службы -> Справочные,1
19726250,https://investmoscow.ru/tenders/tender/19726250,baseline,06.03.2025 10:00,2025-09,208,medium,Китайский центр здоровья,"Красота / Здоровье, Медицинские услуги -> Альтернативная медицина, Массажист",1
19727072,https://investmoscow.ru/tenders/tender/19727072,baseline,06.02.2025 17:00,2025-09,236,high,"Барберхаус, барбершоп",Красота / Здоровье -> Барбершопы,1
19728515,https://investmoscow.ru/tenders/tender/19728515,baseline,11.02.2025 17:00,2025-09,231,medium,"Ozon | Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
19728516,https://investmoscow.ru/tenders/tender/19728516,baseline,11.02.2025 17:00,2025-09,231,medium,"Ozon | Wildberries, пункт выдачи интернет-заказов",Грузоперевозки / Транспортные услуги -> Пункты выдачи интернет-заказов,2
