url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол
https://investmoscow.ru/tenders/tender/19440014,19440014,51.7,3120000.0,60348.16,"312 000,00 руб.","78 000,00 руб.",,,"Северный административный округ, Войковский, Ленинградское шоссе, дом 15, Подвал № 0",77:09:0003017:8123,Войковская (2 мин),Подвал,10,,Вход через подъезд,Публичное предложение,2024,Завершено,05.12.2023 20:00:00,25.01.2024 15:00:00,01.02.2024 10:00,05.02.2024 10:00,05.02.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017128,
https://investmoscow.ru/tenders/tender/19423497,19423497,493.2,38186000.0,77424.98,"3 818 600,00 руб.","954 650,00 руб.",,,"Северо-Восточный административный округ, Алексеевский, проспект Мира, дом 112, Антресоль № 1, Подвал № 0","77:02:0023001:4847, 77:02:0023001:4842",Алексеевская (2 мин),"Подвал, Антресоль",9,,Вход через места общего пользования,Публичное предложение,2024,Завершено,23.11.2023 20:00:00,18.01.2024 15:00:00,25.01.2024 10:00,29.01.2024 10:00,29.01.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000016988,
https://investmoscow.ru/tenders/tender/19419638,19419638,115.4,10655000.0,92331.02,"1 065 500,00 руб.","532 750,00 руб.",,,"Юго-Западный административный округ, Ломоносовский, улица Кравченко, дом 12, Подвал № 0",77:04:0001006:4650,Проспект Вернадского (10 мин),Подвал,10,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,20.11.2023 20:00:00,16.01.2024 15:00:00,23.01.2024 10:00,25.01.2024 10:00,25.01.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000016929,
https://investmoscow.ru/tenders/tender/19548837,19548837,148.6,7243000.0,48741.59,"724 300,00 руб.","362 150,00 руб.","7243000,00",0.0%,"Юго-Западный административный округ, Ломоносовский, улица Марии Ульяновой, дом 17, корпус 2, Подвал № 0",77:06:0001007:9494,Проспект Вернадского (14 мин),Подвал,8,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,27.03.2024 20:00:00,20.05.2024 15:00:00,27.05.2024 10:00,29.05.2024 10:00,29.05.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000019050,
https://investmoscow.ru/tenders/tender/19559853,19559853,187.8,34461000.0,183498.4,"3 446 100,00 руб.","1 723 050,00 руб.",,,"Северо-Восточный административный округ, Останкинский, улица Академика Королёва, дом 8, корпус 2, Этаж № 1",77:02:0022001:1214,Улица Академика Королёва ( мин),1 этаж,22,,Отдельный,Открытый аукцион в электронной форме,2024,Завершено,04.04.2024 20:00:00,01.07.2024 15:00:00,08.07.2024 10:00,10.07.2024 10:00,10.07.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000019282,
https://investmoscow.ru/tenders/tender/19584130,19584130,116.0,11729000.0,101112.07,"1 172 900,00 руб.","586 450,00 руб.",,,"Северный административный округ, Хорошевский, улица Зорге, дом 14, корпус 2, Цокольный этаж № 0",77:09:0005005:8176,Зорге (8 мин),Цоколь,8,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,16.05.2024 20:00:00,20.06.2024 15:00:00,27.06.2024 10:00,02.07.2024 10:00,02.07.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000020366,
https://investmoscow.ru/tenders/tender/19513008,19513008,60.2,4148000.0,68903.65,"414 800,00 руб.","207 400,00 руб.","4148000,00",0.0%,"Северный административный округ, Войковский, Ленинградское шоссе, дом 34, корпус 2, Подвал № 0",77:09:0003013:2441,Балтийская (6 мин),Подвал,5,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,16.02.2024 20:00:00,20.03.2024 15:00:00,27.03.2024 10:00,29.03.2024 10:00,29.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000018420,
https://investmoscow.ru/tenders/tender/19478716,19478716,68.4,9297000.0,135921.05,"929 700,00 руб.","464 850,00 руб.",,,"Юго-Западный административный округ, Академический, Профсоюзная улица, дом 11/11, Цокольный этаж № 0",77:06:0004001:2718,Профсоюзная (6 мин),Цоколь,9,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,19.01.2024 20:00:00,21.02.2024 15:00:00,28.02.2024 10:00,01.03.2024 10:00,01.03.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017944,
https://investmoscow.ru/tenders/tender/19696376,19696376,250.9,22948200.0,91463.53,"2 294 820,00 руб.","1 147 410,00 руб.","29832660,00",30.0%,"Зеленоградский административный округ, Крюково, город Зеленоград, корпус 1534, Этаж № 1",77:10:0000000:2758,Зеленоград-Крюково (16 мин),1,2,,Вход через подъезд,Открытый аукцион в электронной форме,2024,Завершено,02.10.2024 20:00:00,06.11.2024 15:00:00,13.11.2024 10:00,15.11.2024 10:00,15.11.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000023132,
https://investmoscow.ru/tenders/tender/19433787,19433787,250.9,25649000.0,102227.98,"2 564 900,00 руб.","1 282 450,00 руб.",,,"Зеленоградский административный округ, Крюково, город Зеленоград, корпус 1534, Этаж № 1",77:10:0000000:2758,,1,2,,Вход через места общего пользования,Открытый аукцион в электронной форме,2024,Завершено,01.12.2023 15:00:00,07.02.2024 15:00:00,14.02.2024 10:00,16.02.2024 10:00,16.02.2024 17:00,https://www.roseltorg.ru/procedure/21000005000000017089,
