url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол,????????_????????_????,????????_????_????????????
https://investmoscow.ru/tenders/tender/19760729,19760729,34.5,8257000.0,239333.33,"825 700,00 руб.","412 850,00 руб.","10734100,00",30.0%,"Западный административный округ, Можайский, Витебская улица, дом 3, корпус 1, Этаж № 1",77:07:0008005:10170,Кунцевская (0 мин),1,17.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,11.02.2025 20:00:00,18.03.2025 15:00:00,25.03.2025 10:00,27.03.2025 10:00,27.03.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000024445/1,,protocol,true
https://investmoscow.ru/tenders/tender/19960718,19960718,274.8,11844000.0,43100.44,"1 184 400,00 руб.","296 100,00 руб.","11844000,00",,"Юго-Западный административный округ, Зюзино, Болотниковская улица, дом 13, Подвал № 0",77:06:0005012:3498,Каховская (0 мин),Подвал,5.0,,Вход через места общего пользования,Публичное предложение,2026,Завершено,17.12.2025 20:00:00,17.02.2026 15:00:00,24.02.2026 10:00,26.02.2026 10:00,26.02.2026 17:00,https://www.roseltorg.ru/procedure/21000005000000028484/1,,protocol,true
https://investmoscow.ru/tenders/tender/19864873,19864873,274.8,11844000.0,43100.44,"1 184 400,00 руб.","592 200,00 руб.",,,"Юго-Западный административный округ, Зюзино, Болотниковская улица, дом 13, Подвал № 0",77:06:0005012:3498,Каховская (0 мин),Подвал,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,15.09.2025 20:00:00,16.10.2025 15:00:00,23.10.2025 10:00,28.10.2025 10:00,28.10.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026624/1,,missing,false
https://investmoscow.ru/tenders/tender/19816464,19816464,274.8,11844000.0,43100.44,"1 184 400,00 руб.","592 200,00 руб.",,,"Юго-Западный административный округ, Зюзино, Болотниковская улица, дом 13, Подвал № 0",77:06:0005012:3498,Каховская (0 мин),Подвал,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,14.07.2025 20:00:00,19.08.2025 15:00:00,26.08.2025 10:00,28.08.2025 10:00,28.08.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025905/1,,missing,false
https://investmoscow.ru/tenders/tender/19747134,19747134,19.2,4269000.0,222343.75,"426 900,00 руб.","213 450,00 руб.",,,"Западный административный округ, Раменки, улица Довженко, дом 6, Этаж № 2",77:07:0006004:14877,Минская (1 мин),2,9.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,22.01.2025 20:00:00,24.02.2025 15:00:00,03.03.2025 10:00,05.03.2025 10:00,05.03.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000024240/1,,protocol,true
https://investmoscow.ru/tenders/tender/19802849,19802849,579.2,75620000.0,130559.39,"7 562 000,00 руб.","3 781 000,00 руб.","83182000,00",10.0%,"Северо-Восточный административный округ, Бабушкинский, Верхоянская улица, дом 10, Этаж № 1, помещение 4/1",77:02:0015004:3632,Свиблово (0 мин),1 этаж,4.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,30.05.2025 20:00:00,10.07.2025 15:00:00,17.07.2025 10:00,22.07.2025 10:00,22.07.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000025634/1,,protocol,true
https://investmoscow.ru/tenders/tender/19851549,19851549,113.2,26670000.0,235600.71,"500 000,00 руб.","133 350,00 руб.","27336750,00",2.5%,"Северо-Восточный административный округ, Лосиноостровский, Тайнинская улица, дом 13, корпус 1, этаж 1, пом. 1Н",77:02:0011002:5837,Медведково (21 мин),1,19.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,02.09.2025 20:00:00,03.10.2025 15:00:00,10.10.2025 15:00,14.10.2025 10:00,14.10.2025 17:00,https://www.roseltorg.ru/procedure/178fz02092500080/1,,protocol,true
https://investmoscow.ru/tenders/tender/19720198,19720198,123.3,31639000.0,256601.78,"500 000,00 руб.","158 195,00 руб.","32904560,00",4.0%,"Северо-Восточный административный округ, Лосиноостровский, Тайнинская улица, дом 13, корпус 1, этаж 1, пом. 3Н",77:02:0011002:5839,Медведково (19 мин),1,18.0,,Отдельный,Открытый аукцион в электронной форме,2025,Завершено,16.12.2024 20:00:00,12.02.2025 15:00:00,19.02.2025 15:00,21.02.2025 10:00,21.02.2025 17:00,https://www.roseltorg.ru/procedure/178fz16122400028/1,,protocol,true
https://investmoscow.ru/tenders/tender/19881261,19881261,481.0,45438000.0,94465.7,"4 543 800,00 руб.","2 271 900,00 руб.","49981800,00",10.0%,"Северо-Западный административный округ, Покровское-Стрешнево, улица Свободы, дом 12/8, Этаж № 3, пом. I",77:08:0006002:2298,Тушинская (16 мин),3,5.0,,Вход через места общего пользования,Открытый аукцион в электронной форме,2025,Завершено,02.10.2025 20:00:00,06.11.2025 15:00:00,13.11.2025 10:00,18.11.2025 10:00,18.11.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026901/1,,protocol,true
https://investmoscow.ru/tenders/tender/19827258,19827258,280.3,39277000.0,140124.87,"3 927 700,00 руб.","981 925,00 руб.","48114325,00",,"Северо-Восточный административный округ, Алексеевский, улица Бориса Галушкина, дом 26, этаж №1,помещение 6А/1,помещение 6Б/1","77:02:0023006:1721, 77:02:0023006:1754",ВДНХ (1 мин),1 этаж,8.0,,Вход через подъезд,Публичное предложение,2025,Завершено,08.08.2025 20:00:00,10.09.2025 15:00:00,17.09.2025 10:00,19.09.2025 10:00,19.09.2025 17:00,https://www.roseltorg.ru/procedure/21000005000000026183/1,,protocol,true
