url,номер_лота,площадь_м²,начальная_цена_руб,цена_за_м²,размер_задатка_руб,шаг_аукциона_руб,итоговая_цена_руб,превышение_цены_%,адрес,кадастровый_номер,метро,этаж,этажность,функциональное_назначение,тип_входа,форма_проведения,год_торгов,статус,дата_начала_приёма,дата_окончания_приёма,дата_отбора_участников,дата_проведения_торгов,дата_подведения_итогов,platformLink,ссылка_на_протокол
https://investmoscow.ru/tenders/tender/19137104,19137104,66.7,9400000.0,140929.54,"940 000,00 руб.","235 000,00 руб.","8930000,00",-5.0%,"Юго-Восточный административный округ, Люблино, Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, улица Маршала Кожедуба, дом 16, корпус 1, Этаж № 1",77:04:0004029:8688,Люблино (29 мин),1,14,,Отдельный,Публичное предложение,2023,Завершено,15.06.2023 20:00:00,17.07.2023 15:00:00,24.07.2023 10:00,26.07.2023 10:00,26.07.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000012440,
https://investmoscow.ru/tenders/tender/19001704,19001704,66.7,9400000.0,140929.54,"940 000,00 руб.","470 000,00 руб.",,,"Юго-Восточный административный округ, Люблино, Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, улица Маршала Кожедуба, дом 16, корпус 1, Этаж № 1",77:04:0004029:8688,Люблино (29 мин),1,14,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,29.03.2023 20:00:00,22.05.2023 15:00:00,29.05.2023 10:00,31.05.2023 10:00,31.05.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000010284,
https://investmoscow.ru/tenders/tender/19003758,19003758,27.9,4223000.0,151362.01,"422 300,00 руб.","211 150,00 руб.","5067600,00",20.0%,"Северо-Западный административный округ, Митино, Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Пятницкое шоссе, дом 10, этаж № 1",77:08:0002014:1941,Митино (22 мин),1,17,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,30.03.2023 20:00:00,22.05.2023 15:00:00,29.05.2023 10:00,31.05.2023 10:00,31.05.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000010307,
https://investmoscow.ru/tenders/tender/19023543,19023543,20.4,10425000.0,511029.41,"1 042 500,00 руб.","521 250,00 руб.","19286250,00",85.0%,"Северный административный округ, Войковский, Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, Ленинградское шоссе, дом 9, корпус 1, Этаж № 1",77:09:0003013:2581,Войковская (4 мин),1,9,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,11.04.2023 20:00:00,23.05.2023 15:00:00,30.05.2023 10:00,01.06.2023 10:00,01.06.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000010713,
https://investmoscow.ru/tenders/tender/19023287,19023287,77.8,3514000.0,45167.1,"351 400,00 руб.","175 700,00 руб.","3865400,00",10.0%,"Северный административный округ, Савеловский, Российская Федерация, город Москва, внутригородская территория муниципальный округ Савеловский, Петровско-Разумовский проезд, дом 16, корпус 2, Подвал № 0",77:09:0004011:6569,Петровский парк (12 мин),Подвал,7,,Вход через подъезд,Открытый аукцион в электронной форме,2023,Завершено,11.04.2023 20:00:00,23.05.2023 15:00:00,30.05.2023 10:00,01.06.2023 10:00,01.06.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000010692,
https://investmoscow.ru/tenders/tender/19151842,19151842,177.4,22193000.0,125101.47,"2 219 300,00 руб.","554 825,00 руб.","21638175,00",-2.5%,"Северо-Восточный административный округ, Южное Медведково, Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Медведково, проезд Шокальского, дом 3, корпус 2, Этаж № 1",77:02:0006003:7157,Бабушкинская (17 мин),1,24,,Отдельный,Публичное предложение,2023,Завершено,27.06.2023 20:00:00,31.07.2023 15:00:00,07.08.2023 10:00,09.08.2023 10:00,09.08.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000012588,
https://investmoscow.ru/tenders/tender/19023065,19023065,177.4,22193000.0,125101.47,"2 219 300,00 руб.","1 109 650,00 руб.",,,"Северо-Восточный административный округ, Южное Медведково, Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Медведково, проезд Шокальского, дом 3, корпус 2, Этаж № 1",77:02:0006003:7157,Бабушкинская (17 мин),1,24,,Отдельный,Открытый аукцион в электронной форме,2023,Завершено,11.04.2023 20:00:00,23.05.2023 15:00:00,30.05.2023 10:00,01.06.2023 10:00,01.06.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000010688,
https://investmoscow.ru/tenders/tender/19336959,19336959,64.9,4018000.0,61910.63,"401 800,00 руб.",,"2101000,00",-47.7%,"Южный административный округ, Даниловский, улица Симоновский Вал, дом 24, корпус 1, Подвал № 0",77:05:0002001:10143,Дубровка (13 мин),Подвал,8,,Вход через подъезд,Без объявления цены,2023,Завершено,05.10.2023 20:00:00,23.11.2023 15:00:00,,,28.11.2023 10:00,https://www.roseltorg.ru/procedure/21000005000000015798,
https://investmoscow.ru/tenders/tender/19184822,19184822,64.9,4018000.0,61910.63,"401 800,00 руб.","100 450,00 руб.","3013500,00",-25.0%,"Южный административный округ, Даниловский, улица Симоновский Вал, дом 24, корпус 1, Подвал № 0",77:05:0002001:10143,Дубровка (13 мин),Подвал,8,,Вход через подъезд,Публичное предложение,2023,Завершено,13.07.2023 20:00:00,17.08.2023 15:00:00,24.08.2023 10:00,28.08.2023 10:00,28.08.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000013344,
https://investmoscow.ru/tenders/tender/19169443,19169443,32.2,2054000.0,63788.82,"205 400,00 руб.","102 700,00 руб.","2875600,00",40.0%,"Южный административный округ, Даниловский, Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, улица Симоновский Вал, дом 24, корпус 1, Подвал № 0",77:04:0001019:9518,Дубровка (13 мин),Подвал,8,,Вход через подъезд,Открытый аукцион в электронной форме,2023,Завершено,06.07.2023 20:00:00,07.08.2023 15:00:00,14.08.2023 10:00,16.08.2023 10:00,16.08.2023 17:00,https://www.roseltorg.ru/procedure/21000005000000012858,
