id,name,type,address,lat,lon
6635203285,Младшая школа #4,school,,55.855464,37.1202771
6665428945,"Центр спорта и образования ""Локомотив""",school,,55.8061697,37.7423295
6794888867,"ГБОУ школа № 507, здание № 15",school,,55.6603483,37.6250118
6920410390,Воскресная школа,school,,55.9280775,37.5405472
6988316009,Первый экстернат,school,,55.7429862,37.5374481
7018057539,Русская классическая гимназия,school,,55.7711404,37.6166484
7106696486,Детская школа искусств,school,,55.9368369,37.842024
7118093215,Общеобразовательная православная школа искусств,school,,55.781397,37.5767317
7162274913,"СОШ ""Софьинская""",school,,55.5159451,37.0104343
7218108678,ГБОУ Школа №1601,school,,55.7920118,37.5671983
7241782461,Новая гуманитарная школа,school,,55.8027705,37.5415596
7359275193,Школа скорочтения,school,,55.698902,37.9266977
7479898289,Одинцовский техникум,school,,55.5944784,37.052708
7832365986,Bambini-Club,school,,55.6697134,37.4738556
8033690833,"Лицей ""Москвич""",school,,55.6778188,37.5178345
8082242566,Ирида,school,,55.7301696,37.8118483
8127218140,MBA creative school,school,,55.8107761,36.9850918
8370846276,Риверсайд,school,,55.892936,37.370161
8715324604,"Школа №1505 ""Преображенская""",school,,55.8039734,37.7354515
8715324619,"Школа №1505 ""Преображенская""",school,,55.8008166,37.737962
8775414224,Школа Великих Открытий,school,,55.7335395,37.2453734
8839210217,Русский Гарвард,school,,55.6359375,37.617555
8840934476,Православная школа им. Преподобного Сергия Радонежского,school,,55.8537147,37.6316461
8850841017,СтадиОн,school,,55.66957,37.8820156
9843601709,Детская художественная школа № 9,school,,55.9781773,37.1634801
9910450170,Атлас school,school,,55.6966201,37.507424
10032154011,Robo code,school,,56.0188229,37.4775285
10269753089,Плюс,school,Аэродромная улица,55.847034,37.4334612
10648616697,Физико-математический лицей №5,school,Советская улица,55.9342077,37.5174763
10709028671,Подсолнух,school,,55.8184515,37.5900516
11452311066,KIBERone,school,,55.5567099,37.5932302
11452672045,KIBERone,school,,55.5382864,37.6186911
11452672560,KIBERone,school,,55.5228668,37.5825808
11452993369,KIBERone,school,,55.5356723,37.6405669
11453004091,KIBERone,school,,55.5332615,37.7136199
11453024201,KIBERone,school,,55.5609381,37.7051046
11760867026,Академическая Гимназия,school,,55.755475,37.5085821
12164469966,Совикум,school,,55.8198054,37.3123813
12551009107,Kartsev,school,,55.7546018,37.5869228
12630102011,Детский Центр Маленький Гений,school,,55.8331084,37.9548333
12798343007,Letovo Junior,school,,55.6800127,37.5510505
13143854885,,school,,55.4897128,37.7550976
13200334667,Русское слово,school,Кутузовская,55.7022674,37.3264441
13261450626,Предуниверситарии московского государственного лингвистического университета,school,,55.7391782,37.5951695
13265226937,Школа ЦПМ,school,,55.7537706,37.6535854
13502985101,,school,,55.7256067,36.8768211
13534217511,Школа №354 имени Д.М. Карбышева,school,,55.7714341,37.66862
13701051413,Воскресная школа,school,,55.9209871,36.8477802
13725130806,Lancman school,school,,55.8933663,37.3978805
13730373449,Аметист,school,улица Чкалова,55.9009896,37.4580817
13787357711,Воскресная школа,school,,55.7353131,37.6106487
22821126,Лобненский лицей,school,,56.0111553,37.466132
23838365,Гимназия №13,school,,55.9409521,37.4887806
24551760,Средняя общеобразовательная школа №8,school,,55.7496307,37.9501488
24551806,Салтыковская Гимназия,school,,55.7504971,37.9219711
27560499,Школа №467,school,2-я Дубровская улица,55.7289891,37.6713802
27651219,"Школа № 1288, корпус № 5",school,Хорошёвское шоссе,55.7776147,37.5291545
27728931,Школа №1212,school,улица Маршала Рыбалко,55.7991425,37.487259
27776347,Центр-ЮССТ НОУ,school,улица Маршала Неделина,55.7260331,37.4208122
27776481,Школа №1400,school,Можайское шоссе,55.7209717,37.4114012
27804313,Школа 1910,school,Мячковский бульвар,55.650675,37.7620407
27811752,,school,Мячковский бульвар,55.6550565,37.750546
27811792,Школа №1967,school,Братиславская улица,55.6629901,37.7507997
28033672,ГОУ №1674,school,Осенняя улица,55.7592343,37.4029735
28094568,Школа с углубленным изучением английского языка № 1293 Корпус № 3,school,Партизанская улица,55.7385486,37.4045058
28094569,"Центр внешкольной работы ""Синегория""",school,Партизанская улица,55.7394448,37.4023908
28115021,Центр ЮССТ,school,Гжатская улица,55.7157512,37.4403522
28150399,Школа №90 им. Героя Советского Союза Е.Г. Ларикова,school,3-й Михалковский переулок,55.8341134,37.5256301
28159291,Политехнический колледж № 42,school,Гродненская улица,55.717753,37.4352622
28377590,Школа № 1321. Филиал № 3,school,Краснодонская улица,55.6721357,37.7500955
28379124,Школа №888,school,улица Ращупкина,55.7247997,37.4440316
28683132,Школа №830 корпус №4,school,Врачебный проезд,55.8141499,37.4593779
28859009,"ГБОУ Школа №1080, Школьное отделение № 5",school,Бойцовая улица,55.8095089,37.7203059
28879187,Школа №1315,school,Конаковский проезд,55.8460062,37.4811199
28889642,Центр образования № 1681,school,бульвар Дмитрия Донского,55.5650635,37.5697899
28896147,Лицей №1571 корпус №6,school,улица Фомичёвой,55.8567494,37.4440687
28937892,Школа №1285 структурное подразделение (начальная школа),school,1-й Тушинский проезд,55.8338083,37.418263
28938786,Школа № 830. Корпус № 3,school,улица Свободы,55.8251923,37.4493216
28950132,Школа №224,school,Ленинградское шоссе,55.8291421,37.4910137
28950143,Школа №224,school,Ленинградское шоссе,55.8378457,37.4843581
28950763,Центр образования №1679 Школа здоровья,school,Новопетровская улица,55.8277391,37.5192129
29008845,,school,Очаковское шоссе,55.6955402,37.4573312
29034683,Воскресная школа,school,Свободный проспект,55.7572129,37.8139517
29092187,Интернат №108,school,улица Крупской,55.681983,37.5265689
29102757,Школа №1293,school,Оршанская улица,55.7428453,37.4106066
29102758,Школа №81,school,Оршанская улица,55.7424419,37.4106005
29114815,Школа № 1514,school,улица Крупской,55.686297,37.5283695
29243290,,school,улица Раменки,55.6937689,37.4941239
29265266,Школа №115,school,улица Бутлерова,55.6532486,37.5270247
29277434,Специальная школа №3,school,улица Цюрупы,55.6699349,37.5760101
29277435,Школа-интернат №61,school,улица Цюрупы,55.6696845,37.5767271
29325314,"Центр внешкольной работы ""Зюзино"" (УПК №2)",school,Большая Юшуньская улица,55.6479616,37.5905415
29386096,Школа №398,school,улица Хлобыстова,55.7175457,37.8048564
29386752,Спецшкола №895,school,Ташкентская улица,55.7003552,37.8137004
29386753,Центр образования №1420,school,Ташкентская улица,55.7009762,37.8148969
29396623,Школа имени Ф. М. Достоевского,school,Краснодонская улица,55.6865233,37.7510571
29400566,Школа №623,school,Волгоградский проспект,55.7055473,37.7871892
29430157,Школа №2090,school,1-я Новокузьминская улица,55.7144209,37.7921939
