_id,value,geo_lat,geo_lon
7eb6eca0-6719-47eb-9856-a89113390917,"г Москва, ул Веерная, д 46",55.713055,37.487963
77d90e25-5596-455f-be82-3acb8c51dcda,"г Москва, ул Удальцова, д 71 к 3",55.677077,37.49948
c0e584de-d798-4841-8163-df41b864ad2b,"г Москва, ул Веерная, д 42 к 1",55.713725,37.485511
66266fd3-78fe-4cc3-89ad-420d1f002b3b,"г Москва, ул Веерная, д 22 к 2",55.709013,37.482978
13bf3349-d5b1-44ec-8898-00d36a103996,"г Москва, пр-кт Вернадского, д 60 к 1",55.67423,37.495635
9ebbd27d-08e6-4d3e-b851-83b94b8f7d86,"г Москва, ул Веерная, д 40 к 5",55.712097,37.486912
adb423f9-f3e5-4d71-bce8-736fe10b04af,"г Москва, ул Веерная, д 6",55.711519,37.489167
30814e4d-5c2a-411e-9625-b4e88af4afaf,"г Москва, ул Коштоянца, д 10",55.67756,37.486436
fb632853-cffd-4d27-8009-efe57ef7d849,"г Москва, ул Веерная, д 3 к 6",55.70576,37.476986
33df5aad-2118-46d4-9ea7-36da360a7aaa,"г Москва, ул Нежинская, д 5 к 2",55.7149838,37.474807
1f842eb8-626d-4380-b13d-fc4eb303e511,"г Москва, ул Матвеевская, д 10 к 2",55.704103,37.472764
d679ba35-e7c5-4a94-9bb5-b35c031b1eb6,"г Москва, ул Удальцова, д 71 к 1",55.677776,37.498474
1642ccbe-0770-4b54-91d3-12a3fd736de6,"г Москва, ул Удальцова, д 26",55.681183,37.495808
c492bf0d-722a-4ad0-8625-85172d269d07,"г Москва, ул Малая Пироговская, д 23",55.727192,37.565784
b84caa0a-29a4-4666-9782-e2723694ea62,"г Москва, ул Матвеевская, д 11",55.705417,37.458247
64e43a2c-f7a2-47d5-a7e0-9120dea7edda,"г Москва, ул Лобачевского, д 64",55.675433,37.492599
78492033-a6e4-4c83-83e3-cf6802d55f27,"г Москва, ул Веерная, д 1 к 7",55.70595,37.47959
d35529ad-7c27-437a-97c2-f1af23ab09af,"г Москва, ул Веерная, д 3 к 4",55.70694,37.477966
5ba4de0f-91a3-4112-8208-585cb79f0e9b,"г Москва, ул Веерная, д 7 к 1",55.709617,37.474695
1c6ed1e0-927c-4709-b40f-67e36cdaa66e,"г Москва, ул Лобачевского, д 92 к 2",55.680255,37.4834
37b764ff-2704-4a97-a93b-041feeffc53e,"г Москва, ул Матвеевская, д 42 к 5",55.706642,37.46371
7728309a-a594-4c1e-9ac4-4a610373793d,"г Москва, ул Матвеевская, д 42 к 4",55.70701,37.462478
046ca3c0-fd4c-4b73-baf6-f17054b9d9c1,"г Москва, пр-кт Вернадского, д 97 к 1",55.667158,37.491386
f7762d95-1a02-46fd-a8ce-600bcd62be20,"г Москва, ул Нежинская, д 8 к 2",55.710133,37.46995
8bbfb9ce-3bc5-4058-9f5a-ffabf60c01e8,"г Москва, ул Нежинская, д 15 к 1",55.705929,37.469072
8ce5066d-23b9-401c-880b-90a99e378fd0,"г Москва, пр-кт Вернадского, д 119",55.657621,37.48278
c6195aba-e93c-464b-a958-ec6d1d9a0e83,"г Москва, Очаковское шоссе, д 2 к 1",55.69725,37.46019
5f83e5ed-8439-45ee-961b-398e9d75ef2a,"г Москва, пр-кт Вернадского, д 93 к 1",55.667086,37.496776
05b6c2ba-9925-4add-9c9c-03f050f68548,"г Москва, ул Матвеевская, д 7",55.702976,37.459476
3cc059d1-25cc-4c69-897c-4ab2d70be98d,"г Москва, пр-кт Вернадского, д 113",55.659785,37.483373
4b56fc70-cacc-4c43-b2a5-dbd47f6c8fd7,"г Москва, ул 26-ти Бакинских Комиссаров, д 7 к 1",55.659603,37.485905
a9dfa01e-053f-4c1c-a977-3e4b835e2c75,"г Москва, ул 26-ти Бакинских Комиссаров, д 3 к 3А стр 1",55.6562053,37.4873719
e09c2e69-5c5f-46af-8918-45cf256b56d9,"г Москва, Ленинский пр-кт, д 121/1 к 1",55.649718,37.484981
6b72bd33-3aec-4379-9d3f-5e5c3084d155,"г Москва, ул 26-ти Бакинских Комиссаров, д 14",55.661472,37.487255
4c791f47-8270-4fad-8f1f-3e56c80e77b1,"г Москва, ул 26-ти Бакинских Комиссаров, д 8 к 6",55.661242,37.493578
1002c754-2358-40af-b717-ec00db9e6934,"г Москва, ул 26-ти Бакинских Комиссаров, д 3 к 3",55.655447,37.487829
5384ac96-d269-4108-892c-03d26e0715d4,"г Москва, пр-кт Вернадского, д 109",55.661465,37.483715
fc545248-2978-4bcb-bf27-5ad9b4fbf449,"г Москва, ул Академика Анохина, д 58 к 1",55.65069,37.468346
d544f345-460c-48ec-8954-7def981e93f0,"г Москва, ул 26-ти Бакинских Комиссаров, д 6 к 1",55.658535,37.4917
6b2a7ac2-a8b8-41f6-a1d8-0519831b4f44,"г Москва, ул Академика Анохина, д 11",55.658078,37.472791
53264e2a-976c-417b-89cf-7174b8196315,"г Москва, Ленинский пр-кт, д 154",55.653121,37.488215
6cd9d124-22dd-4888-84da-56adfe6d9bca,"г Москва, ул Академика Анохина, д 12 к 4",55.667213,37.466943
15b6fde7-2562-453e-adf6-af78d4811680,"г Москва, ул Академика Анохина, д 46 к 3",55.65559,37.469305
257a37b1-18fa-4dd7-b1ad-6422f2fc413a,"г Москва, Ленинский пр-кт, д 152 к 2",55.65435,37.488206
b4aa8d1c-b8b3-4c93-892d-d77b911ffe92,"г Москва, пр-кт Вернадского, д 92",55.655254,37.473123
492b2efa-e57b-4db5-804e-8cb7dbf429b0,"г Москва, Очаковское шоссе, д 5 к 3",55.696037,37.460421
4d41b9ea-61d8-4b5f-838c-6be50dc1a02f,"г Москва, Очаковское шоссе, д 8 к 2",55.696321,37.458103
fcc3319d-7c95-4f5a-93b0-8c7152bd56aa,"г Москва, пр-кт Вернадского, д 105 к 4",55.663639,37.486679
eb1e2244-2a33-44b4-9f1a-215983ed170d,"г Москва, ул Матвеевская, д 32 к 2",55.70448,37.462566
f554fcd0-0713-40cb-afa8-48729fc1d522,"г Москва, Аминьевское шоссе, д 3",55.703164,37.455849
c3aaddc3-c83a-45d7-9a2d-91072ad34b31,"г Москва, ул Академика Анохина, д 2 к 3",55.672839,37.474722
6f0dadf4-55bd-4139-8bf1-451f995fcf0d,"г Москва, ул Академика Анохина, д 30 к 2",55.660059,37.468236
ef8d407f-310b-404d-9635-ad70f29f8945,"г Москва, ул Мичуринский проспект.Олимпийская деревня, д 15",55.6733,37.46159
e9861ea0-96c5-4359-b88b-cb4b64d93075,"г Москва, ул Никулинская, д 27 к 2",55.67027,37.45136
5f2eb8af-d22e-4b0c-8d3e-0ba86cad9976,"г Москва, Мичуринский пр-кт, д 31 к 4",55.694302,37.497045
8266fcfd-6ff2-4098-976c-0a1a17424179,"г Москва, ул Никулинская, д 15 к 3",55.666853,37.453495
1db76976-9f75-49fa-8261-c5c811d05dc5,"г Москва, ул Академика Анохина, д 6 к 3",55.668269,37.469341
55ca7d09-433f-41c9-809f-ea0fb853511e,"г Москва, поселение Московский, ул Татьянин Парк, д 12 к 7",55.654899,37.423033
58c51b78-6bae-4d2f-97f1-e2f5a0ff8284,"г Москва, Мичуринский пр-кт, д 27 к 1",55.697655,37.501582
0c0e3e8c-9abb-4687-b864-2561822c1b12,"г Москва, ул Академика Анохина, д 44",55.657795,37.466908
e2cb66ac-ee06-423e-87ae-cfac0fd35f1b,"г Москва, поселение Московский, ул Татьянин Парк, д 12 к 5",55.655757,37.422827
1f7ca45b-1f8c-40e4-b3f5-2d661e658cf7,"г Москва, ул 50 лет Октября, д 2 к 2",55.65378,37.416756
de3112ab-b84b-4946-b4ff-e57415011def,"г Москва, ул Московская, д 28",55.6718701,37.4185566
bdad398d-37fd-4e9b-b420-0f45783c53e1,"г Москва, ул Никулинская, д 5 к 1",55.666939,37.457097
e9d23f0c-3ecd-412e-8e5e-a73cbf735f51,"г Москва, Боровский пр-д, д 20",55.653397,37.383446
671dd289-70c2-40eb-ac93-45f3c267ef59,"г Москва, Боровское шоссе, д 2 к 4",55.661933,37.421416
2f1dc8bc-0410-4e4b-b9b7-5193e82e17aa,"г Москва, ул 6-я Лазенки, д 30",55.65786,37.35945
f9e86453-0f40-47d7-8af7-50f903ba8095,"г Москва, ул Главмосстроя, д 6",55.651816,37.410484
